node,counts
정부,84
부동산,83
정책,80
주택,78
서민,77
경제,71
문제,64
공급,54
생각,44
가격,42
집,40
사람,39
안정,37
주거,35
국민,35
지원,33
기업,32
시장,31
일,30
만들다,30
가지다,28
좋다,26
일자리,24
보다,23
많다,23
확대,23
투자,23
경기,22
투기,22
임대주택,22
같다,21
제도,21
짓다,21
뉴스테이,20
부담,20
어렵다,20
크다,19
규제,19
위기,18
금융,18
새롭다,18
생활,17
사업,17
집값,17
민간,17
나오다,17
사회,17
필요,17
지역,17
대책,17
쓰다,16
개혁,16
장기,15
살다,15
가계,15
대통령,15
건설,14
활성,14
보금자리주택,14
해결,14
구조,14
주다,14
성장,13
지금,13
계획,13
공공,13
오르다,13
국회,13
수준,13
받다,12
늘어나다,12
수요,12
이렇다,12
내수,12
대출,12
들어가다,12
떨어지다,12
참여정부,12
생기다,12
어려움,11
민심,11
경쟁력,11
임대,11
목적,11
노력,11
다음,11
복지,11
통과,11
확충,11
사실,11
문화,11
추진,11
갖다,11
중요,10
민생,10
분양,10
들다,10
오다,10
도시,10
강화,10
소비,10
싸다,10
지속,10
회복,10
얘기,10
신혼부부,10
아파트,10
법안,10
관리,10
도심,9
보이다,9
상승,9
중산층,9
미래,9
값,9
잡다,9
걱정,9
다양,9
소득,9
맞다,9
도입,9
마련,9
이상,9
가깝다,9
성공,9
늘리다,9
개선,9
과거,8
참여,8
금년,8
주택정책,8
세계,8
자리,8
대상,8
물가,8
시대,8
들어오다,8
전환,8
지나다,8
경쟁,8
돈,8
양극화,8
법,8
시작,8
가능,8
서비스,8
바꾸다,8
줄어들다,7
경우,7
내놓다,7
낮추다,7
높이다,7
수도권,7
해소,7
월세,7
효과,7
세제,7
이번,7
정상,7
처음,7
이루다,7
올해,7
자금,7
전국,7
지키다,7
모두,7
완화,7
발전,7
알다,7
나라,7
국가,7
일부,7
창출,7
적극,7
아이,7
넘다,7
인상,7
높다,7
힘들다,7
개발,7
분야,7
미국,7
수출,7
전세,7
지방,7
결과,7
상환,6
교육,6
신용불량자,6
부자,6
약체,6
검토,6
젊다,6
빠지다,6
위축,6
사교육비,6
실패,6
무주택,6
사다,6
주택가격,6
임금,6
세우다,6
부채,6
한국,6
사장,6
나다,6
희망,6
주거비,6
기반,6
읽다,6
기회,6
학자금,6
정치,6
유지,6
본격,6
거래,6
물량,6
종합,5
소비자,5
인하다,5
재개발,5
심판,5
덜다,5
최근,5
청년,5
버티다,5
지난해,5
규모,5
논리,5
통계,5
혁신,5
변화,5
저항,5
파동,5
구하다,5
과제,5
싼값,5
환경,5
신도시,5
낳다,5
균형,5
신하,5
회사,5
옮기다,5
맞춤형,5
겪다,5
금리,5
계속,5
도움,5
당장,5
장애인,5
원칙,5
나타나다,5
채택,5
상황,5
한편,5
혜택,5
관심,5
비싸다,5
오해,5
내리다,5
중소기업,5
극복,5
결국,5
갖추다,5
서민생활,5
주택시장,5
언론,5
불안,5
단기,5
감세,5
반대,5
균형발전,5
상품,5
나가다,5
총리,5
놓다,5
자체,5
주택공사,5
일본,5
맞추다,5
선거,5
지다,5
대학,5
관련,5
풀다,5
기대,5
제공,5
은행,5
평생,4
조치,4
증가,4
자신,4
심리,4
흔들다,4
여소야대,4
시기,4
뒷받침,4
공기업,4
슈뢰더,4
믿다,4
역대,4
이용,4
한나라당,4
내성,4
개인,4
주택금융,4
영향,4
일정,4
빈부격차,4
해외,4
원인,4
금융기관,4
합리,4
방안,4
시세,4
거품,4
재건축,4
몰리다,4
팔다,4
무너지다,4
핵심,4
방식,4
파트너,4
줄이다,4
이후,4
갚다,4
임신,4
공공기관,4
국토,4
부도,4
나중,4
이어지다,4
기존,4
책임지다,4
고용,4
세금,4
직전,4
신문,4
무주택자,4
활력,4
기금,4
생산,4
근본,4
취업,4
약속,4
시스템,4
버리다,4
대기업,4
결혼,4
걸다,4
현실,4
침체,4
사태,4
보육,4
인정,4
이유,4
형편,4
폭등,4
헌법,4
건물,4
이해,4
자원,4
원리,4
여성,4
의하다,4
옳다,4
국제,4
행복주택,3
양질,3
빌리다,3
달하다,3
진작,3
건전,3
비전,3
출산율,3
펴다,3
유동,3
토지공사,3
외환위기,3
결정,3
기여,3
우선,3
공제,3
삶,3
고정금리,3
요구,3
합의,3
존재,3
소유,3
실수요자,3
꿈,3
집중,3
노태우,3
야당,3
올라가다,3
운용,3
전세금,3
신임,3
가구,3
영세,3
정확,3
실질,3
기간,3
사건,3
혁신도시,3
실업,3
